Data set,"Summary Metrics - Scholarly Output cited by Policies"
Entity,"My Publication Set - 11 August 2026"
Year range,1996 to >2026
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"all publication types"
Self-citations,included

Data source,Scopus
Date last updated,5 August 2026
Date exported,11 August 2026


Scholarly Output cited by Policies,65
Scholarly Output cited by Policies (%),33.5
Citing Policy Documents,201
Policy Citations,260
Policy Bodies,74
Policy Body Countries,21
Field-Normalized Policy Impact,2.63

"© 2026 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."


