date	total_pubs	total_cites	h_index	i10_index
2021-07-29	118	1638	22	45
2021-08-05	118	1654	22	45
2021-08-09	118	1658	22	45
2021-09-13	119	1718	22	47
2021-09-20	119	1739	22	47
2021-09-29	119	1769	23	47
2021-10-19	121	1811	23	50
2021-10-19	121	1811	23	50
2021-10-26	121	1821	23	50
2021-11-01	126	1830	23	50
2021-11-05	126	1835	23	50
2021-11-16	126	1856	23	51
2021-11-17	126	1856	23	51
2021-11-18	126	1855	23	51
2021-11-30	126	1881	23	51
2021-12-03	126	1885	23	51
2021-12-03	125	1885	23	51
2021-12-14	126	1896	23	51
2021-12-16	126	1902	23	51
2021-12-27	137	1938	23	54
2022-01-19	137	1984	23	56
2022-01-21	137	1984	23	56
2022-01-21	137	1984	23	56
2022-01-21	137	1984	23	56
2022-01-24	137	1984	23	56
2022-01-26	137	1993	23	56
2022-02-07	137	2010	23	57
2022-02-11	137	2020	23	57
2022-02-14	137	2027	23	57
2022-02-22	137	2046	23	58
2022-03-03	137	2053	23	59
2022-03-28	137	2110	24	61
2022-03-28	137	2110	24	61
2022-06-28	145	2259
2022-09-28	150	2587
2022-12-28	160	2861
2023-03-28	166	3008
2023-06-28	172	3265
2023-09-28	177	3444
2023-12-28	182	3678
2024-03-21	185	3854	32	92
2024-03-22	185	3854	32	92
2024-03-22	185	3859	32	92
2024-03-22	185	3859	32	92
2024-06-30	191	4149	34	96
2024-07-02	191	4149	34	96
2024-09-30	199	4451	36	98
2024-11-07	201	4550	37	99
2024-12-03	205	4611	37	101
